,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
209,Oszkr Abay-Nemes,22.0,185.30803571428572,79.37983587338805,HUN,1936,Berlin,no medal,1,1
244,Mohammed Abbas Sabih,26.0,170.0,70.0,IRQ,2004,Athina,no medal,1,1
348,Dorri Abdel Kader Said,21.0,185.30803571428572,79.37983587338805,EGY,1948,London,no medal,3,1
351,Dorri Abdel Kader Said,25.0,185.30803571428572,79.37983587338805,EGY,1952,Helsinki,no medal,3,2
551,Roosevelt M. Abdulgafur,24.0,181.0,73.0,PHI,1968,Mexico City,no medal,1,1
595,Abdullah Abdulrahman Zeyab,16.0,177.0,79.37983587338805,KUW,1972,Munich,no medal,1,1
751,Matthew Duncan Abeysinghe,20.0,180.0,74.0,SRI,2016,Rio de Janeiro,no medal,1,1
1022,Rui Pinto de Abreu,19.0,177.0,64.0,POR,1980,Moskva,no medal,2,2
1344,Gal Adam,22.0,190.0,80.0,MRI,2008,Beijing,no medal,1,1
1717,Jikirum Adjaluddin,25.0,185.30803571428572,79.37983587338805,PHI,1936,Berlin,no medal,2,2
1827,Jean-Luc Adorno,23.0,180.0,64.0,MON,1984,Los Angeles,no medal,1,1
1844,Nathan Ghar-Jun Adrian,23.0,198.0,100.0,USA,2012,London,Gold,3,2
1848,Nathan Ghar-Jun Adrian,27.0,198.0,100.0,USA,2016,Rio de Janeiro,Bronze,3,3
2011,Aleksandr Agafonov,25.0,190.0,86.0,UZB,2000,Sydney,no medal,3,2
2012,Aleksandr Agafonov,29.0,190.0,86.0,UZB,2004,Athina,no medal,3,3
2109,Yannick Agnel,20.0,202.0,90.0,FRA,2012,London,no medal,2,1
2261,Luis Enrique Aguilar Brenes,16.0,179.0,71.0,CRC,1968,Mexico City,no medal,1,1
2501,Mumtaz Ahmed,34.0,178.0,79.0,PAK,2004,Athina,no medal,1,1
3206,Jarrah Al-Asmawi,21.0,185.30803571428572,79.37983587338805,KUW,1992,Barcelona,no medal,1,1
3209,Khaled Al-Assaf,20.0,179.0,68.0,KUW,1984,Los Angeles,no medal,1,1
3310,Khuwaiter Al-Dhaheri,17.0,185.30803571428572,79.37983587338805,UAE,1996,Atlanta,no medal,1,1
3470,Obaid Ahmed Obaid Al-Jasmi,23.0,178.0,71.0,UAE,2004,Athina,no medal,2,1
3471,Obaid Ahmed Obaid Al-Jasmi,26.0,178.0,71.0,UAE,2008,Beijing,no medal,2,2
3702,Hussein Al-Sadiq,20.0,185.30803571428572,79.37983587338805,KSA,1992,Barcelona,no medal,2,1
3744,Hasan Al-Shammari,21.0,177.0,71.0,KUW,1988,Seoul,no medal,1,1
3760,Hesham Al-Shehabi,16.0,172.0,71.0,BRN,2004,Athina,no medal,1,1
4064,Mario Albertini,21.505691056910567,185.30803571428572,79.37983587338805,ITA,1906,Athina,no medal,1,1
4625,Laurent Paul Alfred,17.0,185.30803571428572,79.37983587338805,ISV,1992,Barcelona,no medal,1,1
4672,Abdurahman Ali,21.0,185.30803571428572,79.37983587338805,PHI,1932,Los Angeles,no medal,1,1
5069,Damian Arthur Christopher Alleyne,21.0,180.0,84.0,BAR,2004,Athina,no medal,2,2
5518,Bernard Aluchna,23.0,180.0,84.0,POL,1960,Roma,no medal,1,1
5534,Jos Amlcar Alvarado,15.0,174.0,64.0,ESA,1968,Mexico City,no medal,1,1
5680,Arturo lvarez Caldern Wells,16.0,185.30803571428572,79.37983587338805,PER,1936,Berlin,no medal,1,1
6045,Orlando Amndola,21.505691056910567,185.30803571428572,79.37983587338805,BRA,1920,Antwerpen,no medal,1,1
6053,Moustafa Amer,21.0,188.0,74.0,EGY,1988,Seoul,no medal,1,1
6866,Ross Woods Anderson,19.0,185.30803571428572,79.37983587338805,NZL,1988,Seoul,no medal,1,1
6964,Klas Erik Andersson,16.0,185.30803571428572,79.37983587338805,SWE,1912,Stockholm,no medal,3,1
7110,Robert Theodor Andersson,19.0,185.30803571428572,79.37983587338805,SWE,1906,Athina,no medal,4,1
7113,Robert Theodor Andersson,21.0,185.30803571428572,79.37983587338805,SWE,1908,London,no medal,4,2
7117,Robert Theodor Andersson,25.0,185.30803571428572,79.37983587338805,SWE,1912,Stockholm,no medal,4,3
7177,Jakob Schitt Andkjr,23.0,201.0,85.0,DEN,2008,Beijing,no medal,1,1
7273,Ren Andr,21.505691056910567,185.30803571428572,79.37983587338805,FRA,1908,London,no medal,1,1
7506,Zo Andrianifaha,14.0,165.0,61.0,MAD,1980,Moskva,no medal,1,1
7599,Andryein Tamir,18.0,181.0,58.0,MGL,2004,Athina,no medal,2,1
7600,Andryein Tamir,26.0,181.0,58.0,MGL,2012,London,no medal,2,2
7659,Ang Peng Siong,21.0,180.0,75.0,SGP,1984,Los Angeles,no medal,2,1
7664,Ang Peng Siong,25.0,180.0,75.0,SGP,1988,Seoul,no medal,2,2
7908,Rami Anis,25.0,178.0,78.0,ROT,2016,Rio de Janeiro,no medal,1,1
7998,Georgios Anninos,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1896,Athina,no medal,1,1
7999,Harold Edward Annison,24.0,183.0,79.37983587338805,GBR,1920,Antwerpen,no medal,2,1
8302,Raychin Antonov,24.0,196.0,82.0,BUL,2004,Athina,no medal,1,1
8669,Dakula Arabani,21.505691056910567,185.30803571428572,79.37983587338805,PHI,1956,Melbourne,no medal,1,1
8713,Shigeo Arai,19.0,185.30803571428572,79.37983587338805,JPN,1936,Berlin,Bronze,1,1
8789,Jos Roberto Diiz Aranha,17.0,191.0,82.0,BRA,1968,Mexico City,no medal,2,1
8791,Jos Roberto Diiz Aranha,21.0,191.0,82.0,BRA,1972,Munich,no medal,2,2
9086,Alexandros Aresti,21.0,188.0,80.0,CYP,2004,Athina,no medal,2,2
9283,Gregory Arkhurst,24.0,182.0,81.0,CIV,2000,Sydney,no medal,2,1
9447,rn Arnarson,26.0,193.0,87.0,ISL,2008,Beijing,no medal,3,3
9559,Jean-Marie Arnould,22.0,186.0,79.37983587338805,BEL,1988,Seoul,no medal,1,1
