,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
29,"Einar Ferdinand ""Einari"" Aalto",26.0,182.85055643879173,76.7433110367893,FIN,1952,Helsinki,no medal,1,1
35,Arvo Ossian Aaltonen,22.0,182.00843170320405,76.69405594405595,FIN,1912,Stockholm,no medal,3,1
36,Arvo Ossian Aaltonen,22.0,177.0,75.0,FIN,1912,Stockholm,no medal,3,1
37,Arvo Ossian Aaltonen,30.0,182.00843170320405,76.69405594405595,FIN,1920,Antwerpen,Bronze,3,2
38,Arvo Ossian Aaltonen,30.0,177.0,75.0,FIN,1920,Antwerpen,Bronze,3,2
39,Arvo Ossian Aaltonen,34.0,182.00843170320405,76.69405594405595,FIN,1924,Paris,no medal,3,3
100,Stefan Remco Aartsen,21.0,194.0,78.0,NED,1996,Atlanta,no medal,2,1
101,Stefan Remco Aartsen,21.0,194.0,78.0,NED,1996,Atlanta,no medal,2,1
102,Stefan Remco Aartsen,21.0,194.0,78.0,NED,1996,Atlanta,no medal,2,1
103,Stefan Remco Aartsen,25.0,194.0,78.0,NED,2000,Sydney,no medal,2,2
104,Stefan Remco Aartsen,25.0,194.0,78.0,NED,2000,Sydney,no medal,2,2
165,Pablo Martn Abal,23.0,178.0,76.0,ARG,2000,Sydney,no medal,1,1
166,Pablo Martn Abal,23.0,178.0,76.0,ARG,2000,Sydney,no medal,1,1
209,Oszkr Abay-Nemes,22.0,185.30803571428572,79.37983587338805,HUN,1936,Berlin,no medal,1,1
210,Oszkr Abay-Nemes,22.0,185.22486288848262,78.87200383509108,HUN,1936,Berlin,Bronze,1,1
244,Mohammed Abbas Sabih,26.0,170.0,70.0,IRQ,2004,Athina,no medal,1,1
258,Tural Abbasov,18.0,182.0,76.0,AZE,2008,Beijing,no medal,1,1
348,Dorri Abdel Kader Said,21.0,185.30803571428572,79.37983587338805,EGY,1948,London,no medal,3,1
349,Dorri Abdel Kader Said,21.0,184.52136752136752,77.05985915492958,EGY,1948,London,no medal,3,1
351,Dorri Abdel Kader Said,25.0,185.30803571428572,79.37983587338805,EGY,1952,Helsinki,no medal,3,2
473,Hamza Abdo,17.0,186.23314065510598,80.04255319148936,PLE,2008,Beijing,no medal,1,1
504,Mohamed Abdul Hamid,19.0,175.0,55.0,SUD,2000,Sydney,no medal,1,1
538,Mohamed Abdul Wahab Al-Salah,21.0,182.85055643879173,76.7433110367893,KUW,1980,Moskva,no medal,1,1
539,Mohamed Abdul Wahab Al-Salah,21.0,183.2295918367347,77.47094017094017,KUW,1980,Moskva,no medal,1,1
551,Roosevelt M. Abdulgafur,24.0,181.0,73.0,PHI,1968,Mexico City,no medal,1,1
552,Roosevelt M. Abdulgafur,24.0,181.0,73.0,PHI,1968,Mexico City,no medal,1,1
553,Roosevelt M. Abdulgafur,24.0,181.0,73.0,PHI,1968,Mexico City,no medal,1,1
554,Roosevelt M. Abdulgafur,24.0,181.0,73.0,PHI,1968,Mexico City,no medal,1,1
555,Roosevelt M. Abdulgafur,24.0,181.0,73.0,PHI,1968,Mexico City,no medal,1,1
560,Ahmed Ghanim Abdullah,20.0,184.0,79.0,EGY,1988,Seoul,no medal,1,1
564,Mohamed Abdullah,22.26939655172414,176.0,66.0,UAE,1988,Seoul,no medal,2,2
565,Mohamed Abdullah,21.29383886255924,176.0,66.0,UAE,1988,Seoul,no medal,2,2
566,Mohamed Abdullah,21.001237623762375,176.0,66.0,UAE,1988,Seoul,no medal,2,2
567,Mohamed Abdullah,20.76388888888889,176.0,66.0,UAE,1988,Seoul,no medal,2,2
568,Mohamed Abdullah,21.51417004048583,176.0,66.0,UAE,1988,Seoul,no medal,2,2
569,Mohamed Abdullah,21.53074433656958,176.0,66.0,UAE,1988,Seoul,no medal,2,2
574,Wan Azlan Abdullah,21.0,188.0,77.0,MAS,1996,Atlanta,no medal,2,1
575,Wan Azlan Abdullah,21.0,188.0,77.0,MAS,1996,Atlanta,no medal,2,1
576,Wan Azlan Abdullah,21.0,188.0,77.0,MAS,1996,Atlanta,no medal,2,1
577,Wan Azlan Abdullah,25.0,188.0,77.0,MAS,2000,Sydney,no medal,2,2
595,Abdullah Abdulrahman Zeyab,16.0,177.0,79.37983587338805,KUW,1972,Munich,no medal,1,1
751,Matthew Duncan Abeysinghe,20.0,180.0,74.0,SRI,2016,Rio de Janeiro,no medal,1,1
813,"Matthew ""Matt"" Abood",30.0,197.0,92.0,AUS,2016,Rio de Janeiro,no medal,1,1
814,"Matthew ""Matt"" Abood",30.0,197.0,92.0,AUS,2016,Rio de Janeiro,Bronze,1,1
888,Gary Abraham,17.0,175.0,64.0,GBR,1976,Montreal,no medal,2,1
889,Gary Abraham,17.0,175.0,64.0,GBR,1976,Montreal,no medal,2,1
890,Gary Abraham,21.0,175.0,64.0,GBR,1980,Moskva,no medal,2,2
891,Gary Abraham,21.0,175.0,64.0,GBR,1980,Moskva,no medal,2,2
892,Gary Abraham,21.0,175.0,64.0,GBR,1980,Moskva,Bronze,2,2
992,David Abrard,19.0,187.0,81.0,FRA,1996,Atlanta,no medal,1,1
1013,Emilio Julio Abreu,22.0,182.00843170320405,76.69405594405595,PAR,1976,Montreal,no medal,1,1
1014,Emilio Julio Abreu,22.0,180.88306451612902,75.020366598778,PAR,1976,Montreal,no medal,1,1
1015,Emilio Julio Abreu,22.0,182.65625,75.46489104116223,PAR,1976,Montreal,no medal,1,1
1020,Rui Pinto de Abreu,15.0,177.0,64.0,POR,1976,Montreal,no medal,2,1
1021,Rui Pinto de Abreu,15.0,177.0,64.0,POR,1976,Montreal,no medal,2,1
1022,Rui Pinto de Abreu,19.0,177.0,64.0,POR,1980,Moskva,no medal,2,2
1023,Rui Pinto de Abreu,19.0,177.0,64.0,POR,1980,Moskva,no medal,2,2
1024,Rui Pinto de Abreu,19.0,177.0,64.0,POR,1980,Moskva,no medal,2,2
1032,Bourhan Abro,21.0,180.0,70.0,DJI,2016,Rio de Janeiro,no medal,1,1
1066,Omar Abu-Fares,16.0,178.0,69.0,JOR,2000,Sydney,no medal,2,1
1067,Omar Abu-Fares,19.0,178.0,69.0,JOR,2004,Athina,no medal,2,2
1109,Anas Sameer N. H. Abuyousuf,14.0,181.0,77.0,QAT,2004,Athina,no medal,1,1
1168,Javier Carlos Acevedo,18.0,182.0,68.0,CAN,2016,Rio de Janeiro,no medal,1,1
1169,Javier Carlos Acevedo,18.0,182.0,68.0,CAN,2016,Rio de Janeiro,no medal,1,1
1278,Luis Angel Acosta,20.0,180.0,73.0,MEX,1968,Mexico City,no medal,1,1
1279,Luis Angel Acosta,20.0,180.0,73.0,MEX,1968,Mexico City,no medal,1,1
1282,Marcelo Alberto Acosta Jimnez,20.0,185.8059210526316,79.09432387312187,ESA,2016,Rio de Janeiro,no medal,1,1
1283,Marcelo Alberto Acosta Jimnez,20.0,182.85055643879173,76.7433110367893,ESA,2016,Rio de Janeiro,no medal,1,1
1284,Marcelo Alberto Acosta Jimnez,20.0,181.81048387096774,74.88191489361702,ESA,2016,Rio de Janeiro,no medal,1,1
1317,Crox Ernesto Acua Rodrguez,18.0,192.0,89.0,VEN,2008,Beijing,no medal,2,1
1318,Crox Ernesto Acua Rodrguez,22.0,192.0,89.0,VEN,2012,London,no medal,2,2
1341,Adam,20.8208516886931,185.8059210526316,79.09432387312187,FRA,1900,Paris,no medal,1,1
1342,Ahmed Adam,20.0,162.0,60.0,SUD,2008,Beijing,no medal,1,1
1344,Gal Adam,22.0,190.0,80.0,MRI,2008,Beijing,no medal,1,1
1348,Jean-Paul Adam,15.0,185.8059210526316,79.09432387312187,SEY,1992,Barcelona,no medal,1,1
1349,Jean-Paul Adam,15.0,182.85055643879173,76.7433110367893,SEY,1992,Barcelona,no medal,1,1
1350,Jean-Paul Adam,15.0,183.7061310782241,77.3072033898305,SEY,1992,Barcelona,no medal,1,1
1410,Panagiotis Adamidis,18.0,184.52136752136752,77.05985915492958,GRE,1996,Atlanta,no medal,1,1
1411,Panagiotis Adamidis,18.0,184.37982832618025,76.41379310344827,GRE,1996,Atlanta,no medal,1,1
1458,Edgar Holmes Adams,36.0,183.0,70.0,USA,1904,St. Louis,no medal,1,1
1459,Edgar Holmes Adams,36.0,171.0,77.9809298274764,USA,1904,St. Louis,no medal,1,1
1460,Edgar Holmes Adams,36.0,172.0,74.0,USA,1904,St. Louis,no medal,1,1
1461,Edgar Holmes Adams,36.0,178.0,68.0,USA,1904,St. Louis,no medal,1,1
1462,Edgar Holmes Adams,36.0,184.19052638501626,77.9809298274764,USA,1904,St. Louis,Silver,1,1
1565,Mehdi Addadi,28.0,179.0,70.0,ALG,2000,Sydney,no medal,1,1
1566,Mehdi Addadi,28.0,179.0,70.0,ALG,2000,Sydney,no medal,1,1
1716,Jikirum Adjaluddin,21.0,182.00843170320405,76.69405594405595,PHI,1932,Los Angeles,no medal,2,1
1717,Jikirum Adjaluddin,25.0,185.30803571428572,79.37983587338805,PHI,1936,Berlin,no medal,2,2
1718,Jikirum Adjaluddin,25.0,185.22486288848262,78.87200383509108,PHI,1936,Berlin,no medal,2,2
1719,Jikirum Adjaluddin,25.0,182.00843170320405,76.69405594405595,PHI,1936,Berlin,no medal,2,2
1827,Jean-Luc Adorno,23.0,180.0,64.0,MON,1984,Los Angeles,no medal,1,1
1843,Nathan Ghar-Jun Adrian,19.0,198.0,100.0,USA,2008,Beijing,Gold,3,1
1844,Nathan Ghar-Jun Adrian,23.0,198.0,100.0,USA,2012,London,Gold,3,2
1845,Nathan Ghar-Jun Adrian,23.0,198.0,100.0,USA,2012,London,Silver,3,2
1846,Nathan Ghar-Jun Adrian,23.0,198.0,100.0,USA,2012,London,Gold,3,2
1847,Nathan Ghar-Jun Adrian,27.0,198.0,100.0,USA,2016,Rio de Janeiro,Bronze,3,3
1848,Nathan Ghar-Jun Adrian,27.0,198.0,100.0,USA,2016,Rio de Janeiro,Bronze,3,3
1849,Nathan Ghar-Jun Adrian,27.0,198.0,100.0,USA,2016,Rio de Janeiro,Gold,3,3
1850,Nathan Ghar-Jun Adrian,27.0,198.0,100.0,USA,2016,Rio de Janeiro,Gold,3,3
1880,Serhiy Mykolaiovych Advena,20.0,190.0,82.0,UKR,2004,Athina,no medal,2,1
1881,Serhiy Mykolaiovych Advena,20.0,190.0,82.0,UKR,2004,Athina,no medal,2,1
1882,Serhiy Mykolaiovych Advena,24.0,190.0,82.0,UKR,2008,Beijing,no medal,2,2
1883,Serhiy Mykolaiovych Advena,24.0,190.0,82.0,UKR,2008,Beijing,no medal,2,2
1907,Jasper Aerents,19.0,191.0,86.0,BEL,2012,London,no medal,2,1
1908,Jasper Aerents,19.0,191.0,86.0,BEL,2012,London,no medal,2,1
1909,Jasper Aerents,23.0,191.0,86.0,BEL,2016,Rio de Janeiro,no medal,2,2
1910,Jasper Aerents,23.0,191.0,86.0,BEL,2016,Rio de Janeiro,no medal,2,2
2003,Drago Agache,28.0,175.0,75.0,ROU,2012,London,no medal,1,1
2010,Aleksandr Agafonov,21.0,190.0,86.0,UZB,1996,Atlanta,no medal,3,1
2011,Aleksandr Agafonov,25.0,190.0,86.0,UZB,2000,Sydney,no medal,3,2
2012,Aleksandr Agafonov,29.0,190.0,86.0,UZB,2004,Athina,no medal,3,3
2078,Norbert gh,18.0,194.0,78.0,HUN,1988,Seoul,no medal,1,1
2079,Norbert gh,18.0,194.0,78.0,HUN,1988,Seoul,no medal,1,1
2080,Olivr gh,17.0,187.0,78.0,HUN,1992,Barcelona,no medal,2,1
2081,Olivr gh,17.0,187.0,78.0,HUN,1992,Barcelona,no medal,2,1
2082,Olivr gh,21.0,187.0,78.0,HUN,1996,Atlanta,no medal,2,2
2096,Neil Agius,18.0,168.0,65.0,MLT,2004,Athina,no medal,1,1
2109,Yannick Agnel,20.0,202.0,90.0,FRA,2012,London,no medal,2,1
2110,Yannick Agnel,20.0,202.0,90.0,FRA,2012,London,Gold,2,1
2111,Yannick Agnel,20.0,202.0,90.0,FRA,2012,London,Gold,2,1
2112,Yannick Agnel,20.0,202.0,90.0,FRA,2012,London,Silver,2,1
2113,Yannick Agnel,20.0,202.0,90.0,FRA,2012,London,no medal,2,1
2114,Yannick Agnel,24.0,202.0,90.0,FRA,2016,Rio de Janeiro,no medal,2,2
2115,Robert David Garrick Agnew,17.0,182.85055643879173,76.7433110367893,AUS,1948,London,no medal,2,1
2116,Robert David Garrick Agnew,17.0,181.81048387096774,74.88191489361702,AUS,1948,London,no medal,2,1
2117,Robert David Garrick Agnew,21.0,182.85055643879173,76.7433110367893,AUS,1952,Helsinki,no medal,2,2
2118,Robert David Garrick Agnew,21.0,181.81048387096774,74.88191489361702,AUS,1952,Helsinki,no medal,2,2
2119,Robert David Garrick Agnew,21.0,185.22486288848262,78.87200383509108,AUS,1952,Helsinki,no medal,2,2
2203,Joo Paquete Aguiar,17.0,186.23314065510598,80.04255319148936,ANG,2000,Sydney,no medal,1,1
2224,Andrey Alberto Aguilar Komissarov,19.0,178.0,72.0,CRC,1980,Moskva,no medal,2,1
2225,Andrey Alberto Aguilar Komissarov,19.0,178.0,72.0,CRC,1980,Moskva,no medal,2,1
2226,Andrey Alberto Aguilar Komissarov,19.0,178.0,72.0,CRC,1980,Moskva,no medal,2,1
2227,Andrey Alberto Aguilar Komissarov,19.0,178.0,72.0,CRC,1980,Moskva,no medal,2,1
2228,Andrey Alberto Aguilar Komissarov,23.0,178.0,72.0,CRC,1984,Los Angeles,no medal,2,2
2229,Andrey Alberto Aguilar Komissarov,23.0,178.0,72.0,CRC,1984,Los Angeles,no medal,2,2
2230,Andrey Alberto Aguilar Komissarov,23.0,178.0,72.0,CRC,1984,Los Angeles,no medal,2,2
2261,Luis Enrique Aguilar Brenes,16.0,179.0,71.0,CRC,1968,Mexico City,no medal,1,1
2268,Maximiliano Aguilar Salazar,18.0,161.0,70.0,MEX,1968,Mexico City,no medal,3,1
2496,Mohammed Abdul Elah Ahmed,23.0,170.0,61.0,IRQ,2000,Sydney,no medal,1,1
2501,Mumtaz Ahmed,34.0,178.0,79.0,PAK,2004,Athina,no medal,1,1
2853,Aleksey Nikolayevich Akatyev,21.0,184.0,68.0,RUS,1996,Atlanta,no medal,1,1
2854,Aleksey Nikolayevich Akatyev,21.0,184.0,68.0,RUS,1996,Atlanta,no medal,1,1
2875,Tolga Aslan Akcayli,19.0,186.23314065510598,80.04255319148936,VIN,2012,London,no medal,1,1
2912,Stephen George Akers,21.0,190.0,82.0,GBR,1992,Barcelona,no medal,1,1
2913,Stephen George Akers,21.0,190.0,82.0,GBR,1992,Barcelona,no medal,1,1
2914,Stephen George Akers,21.0,190.0,82.0,GBR,1992,Barcelona,no medal,1,1
3075,Ahmed Akram Abbas Mahmoud,19.0,188.0,80.0,EGY,2016,Rio de Janeiro,no medal,1,1
3076,Ahmed Akram Abbas Mahmoud,19.0,188.0,80.0,EGY,2016,Rio de Janeiro,no medal,1,1
3193,Bassam Al-Ansari,20.5518018018018,175.0,61.0,UAE,1988,Seoul,no medal,1,1
3194,Bassam Al-Ansari,22.26939655172414,175.0,61.0,UAE,1988,Seoul,no medal,1,1
3195,Bassam Al-Ansari,21.29383886255924,175.0,61.0,UAE,1988,Seoul,no medal,1,1
3204,Yousef Al-Askari,18.0,175.0,65.0,KUW,2012,London,no medal,1,1
3206,Jarrah Al-Asmawi,21.0,185.30803571428572,79.37983587338805,KUW,1992,Barcelona,no medal,1,1
3207,Jarrah Al-Asmawi,21.0,184.52136752136752,77.05985915492958,KUW,1992,Barcelona,no medal,1,1
3208,Jarrah Al-Asmawi,21.0,183.2295918367347,77.47094017094017,KUW,1992,Barcelona,no medal,1,1
3209,Khaled Al-Assaf,20.0,179.0,68.0,KUW,1984,Los Angeles,no medal,1,1
3246,Mohanad Ahmed Dheyaa Al-Azzawi,15.0,173.0,65.0,IRQ,2012,London,no medal,1,1
3262,Mubarak Muhammad Salem Al-Besher,24.0,183.47848537005163,77.81206896551724,UAE,2012,London,no medal,1,1
3310,Khuwaiter Al-Dhaheri,17.0,185.30803571428572,79.37983587338805,UAE,1996,Atlanta,no medal,1,1
3362,Ayman Al-Enazy,19.0,183.47848537005163,77.81206896551724,KUW,1992,Barcelona,no medal,1,1
3363,Ayman Al-Enazy,19.0,182.00843170320405,76.69405594405595,KUW,1992,Barcelona,no medal,1,1
3379,Abdulsalam Al-Gadabi,30.0,186.23314065510598,80.04255319148936,YEM,2008,Beijing,no medal,1,1
3391,Adel Al-Ghaith,21.671212121212122,178.0,72.0,KUW,1984,Los Angeles,no medal,1,1
3397,Mohammed bin Naseeb Al-Habsi,16.0,180.0,60.0,OMA,2008,Beijing,no medal,1,1
3403,Ahmad Al-Hahdoud,21.865506329113924,183.47848537005163,77.81206896551724,KUW,1984,Los Angeles,no medal,1,1
3404,Ahmad Al-Hahdoud,21.66626065773447,182.00843170320405,76.69405594405595,KUW,1984,Los Angeles,no medal,1,1
3470,Obaid Ahmed Obaid Al-Jasmi,23.0,178.0,71.0,UAE,2004,Athina,no medal,2,1
3471,Obaid Ahmed Obaid Al-Jasmi,26.0,178.0,71.0,UAE,2008,Beijing,no medal,2,2
3479,Abdel Rahman Al-Kaaki,18.0,182.0,72.0,LIB,2004,Athina,no medal,1,1
3517,Noah Abdalaziz Al-Khulaifi,17.0,190.0,86.0,QAT,2016,Rio de Janeiro,no medal,1,1
3523,Ahmed Al-Kudmani,21.0,170.0,70.0,KSA,2000,Sydney,no medal,2,1
3524,Ahmed Al-Kudmani,24.0,170.0,70.0,KSA,2004,Athina,no medal,2,2
3525,Khalid Al-Kulaibi,14.0,170.0,63.0,OMA,2000,Sydney,no medal,1,1
3532,Rashid Salim Al-Ma'Shari,18.0,181.81048387096774,74.88191489361702,OMA,1996,Atlanta,no medal,1,1
3534,Faisal Al-Mahmeed,16.0,180.0,72.0,KUW,2000,Sydney,no medal,1,1
3564,Ayoub Al-Mas,21.0,180.0,67.0,UAE,2000,Sydney,no medal,1,1
3587,Bader Abdulrahman Al-Muhana,19.0,183.2295918367347,77.47094017094017,KSA,2008,Beijing,no medal,1,1
3632,Fahad S. A. B. S. Al-Otaibi,20.0,184.52136752136752,77.05985915492958,KUW,1996,Atlanta,no medal,1,1
3634,Sultan A. B. S. S. Al-Otaibi,18.0,173.0,73.0,KUW,1988,Seoul,no medal,4,1
3635,Sultan A. B. S. S. Al-Otaibi,18.0,173.0,73.0,KUW,1988,Seoul,no medal,4,1
3636,Sultan A. B. S. S. Al-Otaibi,18.0,173.0,73.0,KUW,1988,Seoul,no medal,4,1
3637,Sultan A. B. S. S. Al-Otaibi,22.0,173.0,73.0,KUW,1992,Barcelona,no medal,4,2
3638,Sultan A. B. S. S. Al-Otaibi,22.0,173.0,73.0,KUW,1992,Barcelona,no medal,4,2
3639,Sultan A. B. S. S. Al-Otaibi,22.0,173.0,73.0,KUW,1992,Barcelona,no medal,4,2
3640,Sultan A. B. S. S. Al-Otaibi,26.0,173.0,73.0,KUW,1996,Atlanta,no medal,4,3
3641,Sultan A. B. S. S. Al-Otaibi,26.0,173.0,73.0,KUW,1996,Atlanta,no medal,4,3
3642,Sultan A. B. S. S. Al-Otaibi,30.0,173.0,73.0,KUW,2000,Sydney,no medal,4,4
3685,Obaid Al-Rumaithi,16.0,179.0,60.0,UAE,1988,Seoul,no medal,2,1
3686,Obaid Al-Rumaithi,16.0,179.0,60.0,UAE,1988,Seoul,no medal,2,1
3687,Obaid Al-Rumaithi,16.0,179.0,60.0,UAE,1988,Seoul,no medal,2,1
3688,Obaid Al-Rumaithi,20.0,179.0,60.0,UAE,1992,Barcelona,no medal,2,2
3689,Obaid Al-Rumaithi,20.0,179.0,60.0,UAE,1992,Barcelona,no medal,2,2
3690,Obaid Al-Rumaithi,20.0,179.0,60.0,UAE,1992,Barcelona,no medal,2,2
3691,Obaid Al-Rumaithi,20.0,179.0,60.0,UAE,1992,Barcelona,no medal,2,2
3692,Obaid Al-Rumaithi,20.0,179.0,60.0,UAE,1992,Barcelona,no medal,2,2
3695,Yaaqoub Al-Saadi,20.0,175.0,62.0,UAE,2016,Rio de Janeiro,no medal,1,1
3702,Hussein Al-Sadiq,20.0,185.30803571428572,79.37983587338805,KSA,1992,Barcelona,no medal,2,1
3703,Hussein Al-Sadiq,20.0,185.8059210526316,79.09432387312187,KSA,1992,Barcelona,no medal,2,1
3704,Hussein Al-Sadiq,20.0,182.85055643879173,76.7433110367893,KSA,1992,Barcelona,no medal,2,1
3705,Hussein Al-Sadiq,20.0,181.81048387096774,74.88191489361702,KSA,1992,Barcelona,no medal,2,1
3743,Hasan Al-Shammari,21.0,177.0,71.0,KUW,1988,Seoul,no medal,1,1
3744,Hasan Al-Shammari,21.0,177.0,71.0,KUW,1988,Seoul,no medal,1,1
3747,Thamer Al-Shamroukh,19.0,185.8059210526316,79.09432387312187,KUW,1996,Atlanta,no medal,1,1
3760,Hesham Al-Shehabi,16.0,172.0,71.0,BRN,2004,Athina,no medal,1,1
3894,Eduardo Alans Guerrero,18.0,174.0,55.0,MEX,1968,Mexico City,no medal,1,1
3895,Eduardo Alans Guerrero,18.0,174.0,55.0,MEX,1968,Mexico City,no medal,1,1
3896,Eduardo Alans Guerrero,18.0,174.0,55.0,MEX,1968,Mexico City,no medal,1,1
3897,Eduardo Alans Guerrero,18.0,174.0,55.0,MEX,1968,Mexico City,no medal,1,1
3899,Juan Alans Guerrero,18.0,177.0,70.0,MEX,1964,Tokyo,no medal,2,1
3900,Juan Alans Guerrero,18.0,177.0,70.0,MEX,1964,Tokyo,no medal,2,1
3901,Juan Alans Guerrero,22.0,177.0,70.0,MEX,1968,Mexico City,no medal,2,2
3902,Juan Alans Guerrero,22.0,177.0,70.0,MEX,1968,Mexico City,no medal,2,2
3903,Juan Alans Guerrero,22.0,177.0,70.0,MEX,1968,Mexico City,no medal,2,2
3918,Osama Mohammed Ye Alarag,16.0,175.0,72.0,QAT,2008,Beijing,no medal,1,1
3921,Jorge Alarcn Gmez,19.0,185.0,80.0,MEX,1988,Seoul,no medal,1,1
3922,Jorge Alarcn Gmez,19.0,185.0,80.0,MEX,1988,Seoul,no medal,1,1
4013,Markel Alberdi Sarobe,24.0,187.0,76.0,ESP,2016,Rio de Janeiro,no medal,1,1
4064,Mario Albertini,21.505691056910567,185.30803571428572,79.37983587338805,ITA,1906,Athina,no medal,1,1
4065,Mario Albertini,22.863636363636363,172.0,74.0,ITA,1906,Athina,no medal,1,1
4089,Piotr Albiski,22.0,188.0,74.0,POL,1992,Barcelona,no medal,1,1
4090,Piotr Albiski,22.0,188.0,74.0,POL,1992,Barcelona,no medal,1,1
4163,Mablio Antnio Gomes Sousa Agostini Albuquerque,19.0,181.0,84.0,POR,1988,Seoul,no medal,1,1
4164,Mablio Antnio Gomes Sousa Agostini Albuquerque,19.0,181.0,84.0,POR,1988,Seoul,no medal,1,1
4220,Ricardo Aldabe Moreno,19.0,193.0,80.0,ESP,1984,Los Angeles,no medal,1,1
4221,Ricardo Aldabe Moreno,19.0,193.0,80.0,ESP,1984,Los Angeles,no medal,1,1
4336,Dmitry Aleksandrov,19.0,185.0,75.0,KGZ,2012,London,no medal,1,1
