,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
1301,Ilona cs (-Zimmermann),16.0,171.32436260623228,61.75478645066274,HUN,1936,Berlin,no medal,1,1
1738,"Margarete ""Grete"" Adler",16.0,171.32436260623228,61.75478645066274,AUT,1912,Stockholm,no medal,2,1
2408,Elisabeth Ulla Johanna kesdotter Ahlgren (-Borglin),23.0,171.32436260623228,61.75478645066274,SWE,1948,London,no medal,1,1
3097,Anastasiya Sergeyevna Aksenova,18.0,182.0,65.0,RUS,2008,Beijing,no medal,1,1
4272,"Joan ""Jody"" Alderson (-Braskamp)",17.0,170.0,59.0,USA,1952,Helsinki,no medal,1,1
4306,Ana Feio da Gama Alegria,15.0,177.0,65.0,POR,1992,Barcelona,no medal,2,1
4853,Triin Aljand,23.0,179.0,68.0,EST,2008,Beijing,no medal,3,2
4870,Jasmine Alkhaldi,19.0,180.0,60.0,PHI,2012,London,no medal,2,1
4871,Jasmine Alkhaldi,23.0,180.0,60.0,PHI,2016,Rio de Janeiro,no medal,2,2
4876,Fatim Alkrmova,14.0,175.0,60.0,AZE,2016,Rio de Janeiro,no medal,1,1
4937,Lesley Allardice,15.0,162.0,50.0,GBR,1972,Munich,no medal,1,1
5435,Malin Therse Alshammar,23.0,180.0,64.0,SWE,2000,Sydney,Silver,6,2
5674,Valeria lvarez,18.0,171.32436260623228,61.75478645066274,ARG,1996,Atlanta,no medal,1,1
6259,Linda Amos,18.0,173.0,73.0,GBR,1964,Tokyo,no medal,1,1
6336,Gail Amundrud (-Beattie),19.0,183.0,70.0,CAN,1976,Montreal,no medal,1,1
6520,Virginia Anchestegui Rabasa,15.0,168.0,55.0,MEX,1972,Munich,no medal,1,1
6652,"Greta Marie Andersen (-Sonnichsen, -Veress)",21.0,171.32436260623228,61.75478645066274,DEN,1948,London,Gold,2,1
6655,"Greta Marie Andersen (-Sonnichsen, -Veress)",25.0,171.32436260623228,61.75478645066274,DEN,1952,Helsinki,no medal,2,2
6709,"Else Lilly ""Lilli"" Andersen (-Svanberg)",17.0,171.32436260623228,61.75478645066274,DEN,1932,Los Angeles,no medal,1,1
6967,Eva Maria Andersson,15.0,167.0,63.0,SWE,1972,Munich,no medal,1,1
7001,Inger Elisabeth Andersson (-Fogelstrm),18.0,171.0,66.0,SWE,1972,Munich,no medal,1,1
7065,Lotten Katrin Andersson,18.0,167.0,53.0,SWE,1968,Mexico City,no medal,2,2
8646,Ruth Evelyn Apt Leheimer,15.0,152.0,50.0,URU,1968,Mexico City,no medal,1,1
8847,Yukie Arata,17.0,171.32436260623228,61.75478645066274,JPN,1932,Los Angeles,no medal,1,1
8857,Carolina Araujo,17.0,158.0,61.75478645066274,MOZ,1988,Seoul,no medal,1,1
9058,Josette Arne (Delmas-),23.0,171.32436260623228,61.75478645066274,FRA,1948,London,no medal,2,1
9060,Josette Arne (Delmas-),27.0,171.32436260623228,61.75478645066274,FRA,1952,Helsinki,no medal,2,2
9346,Marie-Thrse Armentero (-Fuzzati),18.0,164.0,67.0,SUI,1984,Los Angeles,no medal,2,1
9349,Marie-Thrse Armentero (-Fuzzati),22.0,164.0,67.0,SUI,1988,Seoul,no medal,2,2
9488,Eva Johanne Arndt-Riise,16.0,171.32436260623228,61.75478645066274,DEN,1936,Berlin,no medal,2,1
9648,Marcia Arriaga Larrinua,12.0,168.0,58.0,MEX,1968,Mexico City,no medal,2,1
9651,Marcia Arriaga Larrinua,16.0,168.0,58.0,MEX,1972,Munich,no medal,2,2
9738,Heather Ann Arseth,22.0,170.0,60.0,MRI,2016,Rio de Janeiro,no medal,2,2
10467,Silvana Asturias Morel,15.0,154.0,55.0,GUA,1968,Mexico City,no medal,1,1
11281,Maria Awori,15.0,160.0,47.0,KEN,2000,Sydney,no medal,1,1
11481,Sihame Ayouba Ali,17.0,161.0,50.0,COM,2012,London,no medal,1,1
11659,Miyoko Azuma,19.0,162.0,60.0,JPN,1964,Tokyo,no medal,1,1
11776,Shirley Frances Babashoff,15.0,178.0,67.0,USA,1972,Munich,Silver,2,1
