,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
474,Reema Abdo,21.0,173.0,59.0,CAN,1984,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,no medal,1,1
475,Reema Abdo,21.0,173.0,59.0,CAN,1984,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,no medal,1,1
476,Reema Abdo,21.0,173.0,59.0,CAN,1984,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,1,1
517,Fatima Abdul Majeed Hameed Al-Kirashi,14.0,172.18627450980392,62.55807086614173,BRN,2000,Sydney,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
729,Sara Helena berg,17.0,190.0,73.0,SWE,1988,Seoul,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
740,Moira Abernethy (-Ford),17.0,172.8904109589041,62.60313174946004,RSA,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,1,1
741,Moira Abernethy (-Ford),17.0,171.87765957446808,61.76282051282051,RSA,1956,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,no medal,1,1
1301,Ilona cs (-Zimmermann),16.0,171.32436260623228,61.75478645066274,HUN,1936,Berlin,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
1302,Ilona cs (-Zimmermann),16.0,172.8904109589041,62.60313174946004,HUN,1936,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
1421,Nafissatou Moussa Adamou,14.0,172.0,72.0,NIG,2012,London,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
1440,Anne Wilma Adams (-King),16.0,165.0,54.0,GBR,1976,Montreal,Swimming,Swimming Women's 200 metres Butterfly,no medal,1,1
1441,Anne Wilma Adams (-King),16.0,165.0,54.0,GBR,1976,Montreal,Swimming,Swimming Women's 400 metres Individual Medley,no medal,1,1
