,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
10,Per Knut Aaland,31.0,188.0,75.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,1
11,Per Knut Aaland,31.0,188.0,75.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,no medal,2,1
12,Per Knut Aaland,31.0,188.0,75.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,no medal,2,1
13,Per Knut Aaland,31.0,188.0,75.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,2,1
14,Per Knut Aaland,33.0,188.0,75.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,2
15,Per Knut Aaland,33.0,188.0,75.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,2,2
16,Per Knut Aaland,33.0,188.0,75.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,no medal,2,2
17,Per Knut Aaland,33.0,188.0,75.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,2,2
18,John Aalberg,31.0,183.0,72.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,1
19,John Aalberg,31.0,183.0,72.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,no medal,2,1
20,John Aalberg,31.0,183.0,72.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,no medal,2,1
21,John Aalberg,31.0,183.0,72.0,USA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,2,1
22,John Aalberg,33.0,183.0,72.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,2
23,John Aalberg,33.0,183.0,72.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,2,2
24,John Aalberg,33.0,183.0,72.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,no medal,2,2
25,John Aalberg,33.0,183.0,72.0,USA,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,2,2
28,Antti Sami Aalto,26.0,186.0,96.0,FIN,2002,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
30,Jorma Ilmari Aalto,22.0,182.0,76.5,FIN,1980,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,1,1
40,Juhamatti Tapio Aaltonen,28.0,184.0,85.0,FIN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,1,1
59,Kjetil Andr Aamodt,20.0,176.0,85.0,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,no medal,5,1
60,Kjetil Andr Aamodt,20.0,176.0,85.0,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold,5,1
61,Kjetil Andr Aamodt,20.0,176.0,85.0,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze,5,1
62,Kjetil Andr Aamodt,20.0,176.0,85.0,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,no medal,5,1
63,Kjetil Andr Aamodt,22.0,176.0,85.0,NOR,1994,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver,5,2
64,Kjetil Andr Aamodt,22.0,176.0,85.0,NOR,1994,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze,5,2
65,Kjetil Andr Aamodt,22.0,176.0,85.0,NOR,1994,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no medal,5,2
66,Kjetil Andr Aamodt,22.0,176.0,85.0,NOR,1994,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,no medal,5,2
67,Kjetil Andr Aamodt,22.0,176.0,85.0,NOR,1994,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver,5,2
68,Kjetil Andr Aamodt,26.0,176.0,85.0,NOR,1998,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,no medal,5,3
69,Kjetil Andr Aamodt,26.0,176.0,85.0,NOR,1998,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,no medal,5,3
70,Kjetil Andr Aamodt,26.0,176.0,85.0,NOR,1998,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no medal,5,3
71,Kjetil Andr Aamodt,26.0,176.0,85.0,NOR,1998,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,no medal,5,3
72,Kjetil Andr Aamodt,30.0,176.0,85.0,NOR,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,no medal,5,4
73,Kjetil Andr Aamodt,30.0,176.0,85.0,NOR,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold,5,4
74,Kjetil Andr Aamodt,30.0,176.0,85.0,NOR,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no medal,5,4
75,Kjetil Andr Aamodt,30.0,176.0,85.0,NOR,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,no medal,5,4
76,Kjetil Andr Aamodt,30.0,176.0,85.0,NOR,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold,5,4
77,Kjetil Andr Aamodt,34.0,176.0,85.0,NOR,2006,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,no medal,5,5
78,Kjetil Andr Aamodt,34.0,176.0,85.0,NOR,2006,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold,5,5
83,Nils Egil Aaness,24.0,178.43771043771045,76.20466321243524,NOR,1960,Squaw Valley,Speed Skating,Speed Skating Men's 500 metres,no medal,2,1
84,Nils Egil Aaness,24.0,179.0576,75.99420529801324,NOR,1960,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,1
85,Nils Egil Aaness,27.0,179.0576,75.99420529801324,NOR,1964,Innsbruck,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,2
99,Dagfinn Sverre Aarskog,24.0,190.0,98.0,NOR,1998,Nagano,Bobsleigh,Bobsleigh Men's Four,no medal,1,1
110,Roald Edgar Aas,23.0,179.0576,75.99420529801324,NOR,1952,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze,3,1
111,Roald Edgar Aas,27.0,179.0576,75.99420529801324,NOR,1956,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,3,2
112,Roald Edgar Aas,27.0,178.9168399168399,75.13318777292577,NOR,1956,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 5,000 metres",no medal,3,2
113,Roald Edgar Aas,31.0,179.0576,75.99420529801324,NOR,1960,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,3,3
114,Roald Edgar Aas,31.0,178.9168399168399,75.13318777292577,NOR,1960,Squaw Valley,Speed Skating,"Speed Skating Men's 5,000 metres",no medal,3,3
115,Roald Edgar Aas,31.0,178.92835820895522,75.1125,NOR,1960,Squaw Valley,Speed Skating,"Speed Skating Men's 10,000 metres",no medal,3,3
119,Meelis Aasme,25.0,182.0,73.0,EST,1998,Nagano,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,2,1
120,Meelis Aasme,25.0,182.0,73.0,EST,1998,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,no medal,2,1
121,Meelis Aasme,29.0,182.0,73.0,EST,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,2,2
122,Meelis Aasme,29.0,182.0,73.0,EST,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,no medal,2,2
123,Meelis Aasme,29.0,182.0,73.0,EST,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,2,2
245,Muhammad Abbas,23.0,168.0,55.0,PAK,2010,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no medal,1,1
