,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
265,Giordano Giulio Abbondati,15.0,175.0,64.0,ITA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
266,Giordano Giulio Abbondati,19.0,175.0,64.0,ITA,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,2
276,Jeremy Abbott,24.0,175.0,70.0,USA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,3,2
277,Jeremy Abbott,28.0,175.0,70.0,USA,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,3,3
1053,"Aleksandr Viktorovich ""Sasha"" Abt",25.0,179.0,68.0,RUS,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,1,1
2920,Lars Arne kesson,20.0,180.0,68.0,SWE,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
4418,Boycho Aleksiev,24.0,173.39762611275964,65.59163987138264,BUL,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,1,1
5041,"Scott Ethan ""Scotty"" Allen",14.0,163.0,69.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,Bronze,1,1
6203,Florent Amodio,19.0,164.0,56.0,FRA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,1
6204,Florent Amodio,23.0,164.0,56.0,FRA,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,2,2
6576,Gnter Anderl,21.0,182.0,65.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,1
6577,Gnter Anderl,25.0,182.0,65.0,AUT,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
10953,Verners Auls,46.0,173.39762611275964,65.59163987138264,LAT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
11928,Paolo Luca Bacchini,24.0,168.0,64.0,ITA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
12290,Sherwin Campbell Badger,26.0,173.39762611275964,65.59163987138264,USA,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,1
12599,Ernst Baier,26.0,173.39762611275964,65.59163987138264,GER,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,2,1
12600,Ernst Baier,30.0,173.39762611275964,65.59163987138264,GER,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,Silver,2,2
16802,Gary Beacom,23.0,180.0,67.0,CAN,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
20418,Johan Kristoffer Berntsson,23.0,176.0,73.0,SWE,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,1,1
23910,Bodo Bockenauer,19.0,173.39762611275964,65.59163987138264,GER,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
23920,"Wilhelm Richard ""Willy"" Bckl",30.0,173.39762611275964,65.59163987138264,AUT,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,Silver,2,1
23921,"Wilhelm Richard ""Willy"" Bckl",35.0,173.39762611275964,65.59163987138264,AUT,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,Silver,2,2
24502,"Stanislav ""Stan"" Bohonek",23.0,173.39762611275964,65.59163987138264,CAN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
24596,Brian Anthony Boitano,20.0,180.0,75.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,3,1
24597,Brian Anthony Boitano,24.0,180.0,75.0,USA,1988,Calgary,Figure Skating,Figure Skating Men's Singles,Gold,3,2
24598,Brian Anthony Boitano,30.0,180.0,75.0,USA,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,3,3
25496,Michael Robert Booker,18.0,173.39762611275964,65.59163987138264,GBR,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
25696,"Gail Borden, II",24.0,173.39762611275964,65.59163987138264,USA,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,1,1
25817,Ralph Borghard,19.0,170.0,68.0,GER,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
26029,Artyom Igorevich Borodulin,20.0,177.0,68.0,RUS,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
27479,Ian Home Bowhill,24.0,173.39762611275964,65.59163987138264,GBR,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
27500,Christopher Nicol Bowman,20.0,178.0,70.0,USA,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,2,1
27501,Christopher Nicol Bowman,24.0,178.0,70.0,USA,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,2,2
29021,Robert Lee Brewer,20.0,173.39762611275964,65.59163987138264,USA,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
29041,Michal Bezina,19.0,173.0,65.0,CZE,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,1
29042,Michal Bezina,23.0,173.0,65.0,CZE,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,2,2
29402,Sbastien Britten,23.0,172.0,64.0,CAN,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,1,1
30100,Jason Brown,19.0,170.0,61.0,USA,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
30198,"Timothy Tuttle ""Tim"" Brown",21.0,173.39762611275964,65.59163987138264,USA,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
30255,Kurt Browning,21.0,170.0,65.0,CAN,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,3,1
30256,Kurt Browning,25.0,170.0,65.0,CAN,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,3,2
30257,Kurt Browning,27.0,170.0,65.0,CAN,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,3,3
30611,Pierre mile Ernest Brunet,21.0,168.0,65.59163987138264,FRA,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,3,1
30613,Pierre mile Ernest Brunet,25.0,168.0,65.59163987138264,FRA,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,3,2
31459,Lucian Beler,25.0,173.39762611275964,65.59163987138264,SUI,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
32201,Ralph Burghart,25.0,173.39762611275964,65.59163987138264,AUT,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,1,1
32967,"Jeffrey ""Jeff"" Buttle",23.0,173.0,60.0,CAN,2006,Torino,Figure Skating,Figure Skating Men's Singles,Bronze,1,1
