,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
4,Christine Jacoba Aaftink,21.0,185.0,82.0,NED,1988,Calgary,Speed Skating,Speed Skating Women's 500 metres,no medal,3,1
5,Christine Jacoba Aaftink,21.0,185.0,82.0,NED,1988,Calgary,Speed Skating,"Speed Skating Women's 1,000 metres",no medal,3,1
6,Christine Jacoba Aaftink,25.0,185.0,82.0,NED,1992,Albertville,Speed Skating,Speed Skating Women's 500 metres,no medal,3,2
7,Christine Jacoba Aaftink,25.0,185.0,82.0,NED,1992,Albertville,Speed Skating,"Speed Skating Women's 1,000 metres",no medal,3,2
8,Christine Jacoba Aaftink,27.0,185.0,82.0,NED,1994,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,no medal,3,3
9,Christine Jacoba Aaftink,27.0,185.0,82.0,NED,1994,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres",no medal,3,3
34,Pirjo Hannele Aalto (Mattila-),32.0,171.0,65.0,FIN,1994,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,1,1
87,Agnes Erika Aanonsen (-Eyde),17.0,169.0,65.0,NOR,1984,Sarajevo,Luge,Luge Women's Singles,no medal,1,1
252,Forough Abbasi,20.0,164.0,58.0,IRI,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,1,1
734,"Julianne ""Anne"" Abernathy",34.0,165.0,75.0,ISV,1988,Calgary,Luge,Luge Women's Singles,no medal,5,1
735,"Julianne ""Anne"" Abernathy",38.0,165.0,75.0,ISV,1992,Albertville,Luge,Luge Women's Singles,no medal,5,2
736,"Julianne ""Anne"" Abernathy",40.0,165.0,75.0,ISV,1994,Lillehammer,Luge,Luge Women's Singles,no medal,5,3
737,"Julianne ""Anne"" Abernathy",44.0,165.0,75.0,ISV,1998,Nagano,Luge,Luge Women's Singles,no medal,5,4
738,"Julianne ""Anne"" Abernathy",48.0,165.0,75.0,ISV,2002,Salt Lake City,Luge,Luge Women's Singles,no medal,5,5
743,Edme Abetel (-Barr),29.0,167.17142857142858,61.881379310344826,SUI,1952,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,1,1
778,Sarah Abitbol,22.0,150.0,43.0,FRA,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
808,Ilze bola,19.0,169.0,60.0,LAT,1998,Nagano,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
809,Agnese boltia,17.0,166.0,60.0,LAT,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,no medal,1,1
810,Agnese boltia,17.0,166.0,60.0,LAT,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
