,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
778,Sarah Abitbol,22.0,150.0,43.0,FRA,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
993,Tsvetelina Abrasheva,16.0,161.31335149863762,51.11940298507463,BUL,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,1,1
1454,Bridget Shirley Adams (-Bengough),19.0,161.31335149863762,51.11940298507463,GBR,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
2013,Alisa Agafonova,23.0,171.0,51.01052631578948,TUR,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
2020,Marina Aganina,20.0,158.0,51.0,UZB,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
4156,"Tenley Emma Albright (-Gardiner, -Blakely)",16.0,161.31335149863762,51.11940298507463,USA,1952,Oslo,Figure Skating,Figure Skating Women's Singles,Silver,2,1
4157,"Tenley Emma Albright (-Gardiner, -Blakely)",20.0,161.31335149863762,51.11940298507463,USA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold,2,2
5010,Lisa-Marie Allen,19.0,161.31335149863762,51.11940298507463,USA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
5063,Patricia Kim Alletson,17.0,161.31335149863762,51.11940298507463,CAN,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
5224,Zsuzsa Almssy,13.0,158.0,60.0,HUN,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,3,1
5225,Zsuzsa Almssy,17.0,158.0,60.0,HUN,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,3,2
5226,Zsuzsa Almssy,21.0,158.0,60.0,HUN,1972,Sapporo,Figure Skating,Figure Skating Women's Singles,no medal,3,3
5514,Jeannette Eleanor Altwegg (-Wirz),17.0,161.31335149863762,51.11940298507463,GBR,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,Bronze,2,1
5515,Jeannette Eleanor Altwegg (-Wirz),21.0,161.31335149863762,51.11940298507463,GBR,1952,Oslo,Figure Skating,Figure Skating Women's Singles,Gold,2,2
6562,Angela Rosa Anderes,16.0,161.31335149863762,51.11940298507463,SUI,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
7188,Miki Ando,18.0,162.0,50.0,JPN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,1
7189,Miki Ando,22.0,162.0,50.0,JPN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,2,2
7227,Marta Andrade Vidal,21.0,162.0,48.0,ESP,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,2,1
7228,Marta Andrade Vidal,25.0,162.0,48.0,ESP,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,2
7691,Manuela Angeli,16.0,172.0,58.0,ITA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
7933,Marina Vyacheslavovna Anissina (-Dzhigurda),22.0,162.0,52.0,FRA,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,2,1
7934,Marina Vyacheslavovna Anissina (-Dzhigurda),26.0,162.0,52.0,FRA,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Gold,2,2
8616,Hildegard Appeltauer,20.0,161.31335149863762,51.11940298507463,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
8704,Marie Arai,16.0,154.0,45.0,JPN,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
8729,Shizuka Arakawa,16.0,164.0,50.0,JPN,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,1
8730,Shizuka Arakawa,24.0,164.0,50.0,JPN,2006,Torino,Figure Skating,Figure Skating Women's Singles,Gold,2,2
9971,Mao Asada,19.0,163.0,50.0,JPN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,Silver,2,1
9972,Mao Asada,23.0,163.0,50.0,JPN,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,2,2
9973,Mao Asada,23.0,163.0,50.0,JPN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,2,2
10105,"Lucille Mary Ash (-McClure, -Klee)",20.0,156.74261603375527,46.94009216589862,USA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
11829,Zuzana Babiakov (Paurov-),23.0,168.0,54.0,SVK,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
