,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
993,Tsvetelina Abrasheva,16.0,161.31335149863762,51.11940298507463,BUL,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,1,1
1454,Bridget Shirley Adams (-Bengough),19.0,161.31335149863762,51.11940298507463,GBR,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
4156,"Tenley Emma Albright (-Gardiner, -Blakely)",16.0,161.31335149863762,51.11940298507463,USA,1952,Oslo,Figure Skating,Figure Skating Women's Singles,Silver,2,1
4157,"Tenley Emma Albright (-Gardiner, -Blakely)",20.0,161.31335149863762,51.11940298507463,USA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold,2,2
5010,Lisa-Marie Allen,19.0,161.31335149863762,51.11940298507463,USA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
5063,Patricia Kim Alletson,17.0,161.31335149863762,51.11940298507463,CAN,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
5224,Zsuzsa Almssy,13.0,158.0,60.0,HUN,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,3,1
5225,Zsuzsa Almssy,17.0,158.0,60.0,HUN,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,3,2
5226,Zsuzsa Almssy,21.0,158.0,60.0,HUN,1972,Sapporo,Figure Skating,Figure Skating Women's Singles,no medal,3,3
5514,Jeannette Eleanor Altwegg (-Wirz),17.0,161.31335149863762,51.11940298507463,GBR,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,Bronze,2,1
5515,Jeannette Eleanor Altwegg (-Wirz),21.0,161.31335149863762,51.11940298507463,GBR,1952,Oslo,Figure Skating,Figure Skating Women's Singles,Gold,2,2
6562,Angela Rosa Anderes,16.0,161.31335149863762,51.11940298507463,SUI,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
7188,Miki Ando,18.0,162.0,50.0,JPN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,1
7189,Miki Ando,22.0,162.0,50.0,JPN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,2,2
7227,Marta Andrade Vidal,21.0,162.0,48.0,ESP,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,2,1
7228,Marta Andrade Vidal,25.0,162.0,48.0,ESP,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,2
7691,Manuela Angeli,16.0,172.0,58.0,ITA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
8616,Hildegard Appeltauer,20.0,161.31335149863762,51.11940298507463,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
8729,Shizuka Arakawa,16.0,164.0,50.0,JPN,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,1
8730,Shizuka Arakawa,24.0,164.0,50.0,JPN,2006,Torino,Figure Skating,Figure Skating Women's Singles,Gold,2,2
9971,Mao Asada,19.0,163.0,50.0,JPN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,Silver,2,1
9972,Mao Asada,23.0,163.0,50.0,JPN,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,2,2
11829,Zuzana Babiakov (Paurov-),23.0,168.0,54.0,SVK,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
11976,Martha Bachem (Musilek-),23.0,161.31335149863762,51.11940298507463,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
12785,Oksana Serhivna Baiul,16.0,159.0,43.0,UKR,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,Gold,1,1
13689,Sonja Balun,16.0,159.0,50.0,AUT,1972,Sapporo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
14079,Bao Zhenghua,14.0,158.0,51.11940298507463,CHN,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,2,1
14080,Bao Zhenghua,18.0,158.0,51.11940298507463,CHN,1984,Sarajevo,Figure Skating,Figure Skating Women's Singles,no medal,2,2
14367,Elvira Barbey,35.0,161.31335149863762,51.11940298507463,SUI,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
14457,Grazia Barcellona,19.0,161.31335149863762,51.11940298507463,ITA,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
14650,Ursel Barkey,18.0,161.31335149863762,51.11940298507463,GER,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
15839,Erica Anne Batchelor,22.0,161.31335149863762,51.11940298507463,GBR,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
16518,"Virginia Day ""Ginny"" Baxter (-McKendrick, -Newman)",19.0,161.31335149863762,51.11940298507463,USA,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
19217,Margaret Helen Bennett (-Anthony),21.0,161.31335149863762,51.11940298507463,USA,1932,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
20375,Margit Bernhardt (Dring-),19.322222222222223,161.31335149863762,51.11940298507463,GER,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
21371,Franca Ana Bianconi (-Manni),17.0,161.31335149863762,51.11940298507463,ITA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
21576,Denise Biellmann,17.0,160.0,47.0,SUI,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
23013,Doris Blanc,21.0,161.31335149863762,51.11940298507463,SUI,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
23727,Nicole Bobek (-Leal),20.0,165.0,55.0,USA,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
24939,Tony-Sabrina Bombardieri,19.0,172.0,55.0,ITA,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
24997,Surya (Claudine-) Bonaly,18.0,156.0,50.0,FRA,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,3,1
24998,Surya (Claudine-) Bonaly,20.0,156.0,50.0,FRA,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,3,2
24999,Surya (Claudine-) Bonaly,24.0,156.0,50.0,FRA,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,3,3
25993,Karin Borner,20.0,161.31335149863762,51.11940298507463,SUI,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
29512,"Ella Gertrud Auguste ""Ellen"" Brockhft (Rehra-, -Henseler)",34.0,161.31335149863762,51.11940298507463,GER,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
29671,Susan Mirjam Broman (-Lnnqvist),20.0,164.0,55.0,FIN,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
29753,Tracy Lee Brook,16.0,161.31335149863762,51.11940298507463,AUS,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
30444,Sandra Brugnera,20.0,161.31335149863762,51.11940298507463,ITA,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
30620,Andre Marguerite Blanche Brunet-Joly,22.0,165.0,51.11940298507463,FRA,1924,Chamonix,Figure Skating,Figure Skating Women's Singles,no medal,3,1
30622,Andre Marguerite Blanche Brunet-Joly,26.0,165.0,51.11940298507463,FRA,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,3,2
